trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:10:30,01:10:30,133S,31,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:12:00,01:12:00,134S,32,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:14:00,01:14:00,135S,33,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:15:00,01:15:00,136S,34,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:16:00,01:19:00,137S,35,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:20:30,01:20:30,138S,36,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:22:00,01:22:00,139S,37,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:24:00,01:24:00,142S,38,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:46:00,00:46:00,101S,1,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:47:30,00:47:30,103S,2,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:49:00,00:49:00,104S,3,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:50:30,00:50:30,106S,4,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:52:00,00:52:00,107S,5,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:53:00,00:53:00,108S,6,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:54:30,00:54:30,109S,7,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:56:00,00:56:00,110S,8,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:57:30,00:57:30,111S,9,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,00:59:30,00:59:30,112S,10,,1,1,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:01:00,01:01:00,113S,11,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:03:00,01:03:00,114S,12,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:04:30,01:04:30,115S,13,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:06:00,01:06:00,116S,14,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:08:30,01:08:30,117S,15,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:09:30,01:09:30,118S,16,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:10:30,01:10:30,119S,17,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:12:30,01:12:30,120S,18,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:14:30,01:14:30,121S,19,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:15:30,01:15:30,122S,20,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:17:00,01:17:00,123S,21,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:18:30,01:18:30,124S,22,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:20:00,01:20:00,125S,23,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:22:00,01:22:00,126S,24,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:23:30,01:23:30,127S,25,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:25:00,01:25:00,128S,26,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:26:00,01:26:00,129S,27,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:27:00,01:27:00,130S,28,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:28:00,01:28:00,131S,29,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:29:00,01:29:00,132S,30,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:30:30,01:30:30,133S,31,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:32:00,01:32:00,134S,32,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:34:00,01:34:00,135S,33,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:35:00,01:35:00,136S,34,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:36:00,01:39:00,137S,35,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:40:30,01:40:30,138S,36,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:42:00,01:42:00,139S,37,,0,0,
AFA19GEN-1037-Sunday-00_004600_1..S03R,01:44:00,01:44:00,142S,38,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:06:00,01:06:00,101S,1,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:07:30,01:07:30,103S,2,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:09:00,01:09:00,104S,3,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:10:30,01:10:30,106S,4,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:12:00,01:12:00,107S,5,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:13:00,01:13:00,108S,6,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:14:30,01:14:30,109S,7,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:16:00,01:16:00,110S,8,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:17:30,01:17:30,111S,9,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:19:30,01:19:30,112S,10,,1,1,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:21:00,01:21:00,113S,11,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:23:00,01:23:00,114S,12,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:24:30,01:24:30,115S,13,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:26:00,01:26:00,116S,14,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:28:30,01:28:30,117S,15,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:29:30,01:29:30,118S,16,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:30:30,01:30:30,119S,17,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:32:30,01:32:30,120S,18,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:34:30,01:34:30,121S,19,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:35:30,01:35:30,122S,20,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:37:00,01:37:00,123S,21,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:38:30,01:38:30,124S,22,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:40:00,01:40:00,125S,23,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:42:00,01:42:00,126S,24,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:43:30,01:43:30,127S,25,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:45:00,01:45:00,128S,26,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:46:00,01:46:00,129S,27,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:47:00,01:47:00,130S,28,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:48:00,01:48:00,131S,29,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:49:00,01:49:00,132S,30,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:50:30,01:50:30,133S,31,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:52:00,01:52:00,134S,32,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:54:00,01:54:00,135S,33,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:55:00,01:55:00,136S,34,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,01:56:00,01:59:00,137S,35,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,02:00:30,02:00:30,138S,36,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,02:02:00,02:02:00,139S,37,,0,0,
AFA19GEN-1037-Sunday-00_006600_1..S03R,02:04:00,02:04:00,142S,38,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:26:00,01:26:00,101S,1,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:27:30,01:27:30,103S,2,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:29:00,01:29:00,104S,3,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,01:30:30,01:30:30,106S,4,,0,0,
